Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sierra Leone,549.0,639.0,786.0,836.0,876.0,909.0,946.0,1021.0,1072.0,1088.0,1134.0,1203.0,1405,1747,1788,1599,1678,1634,1694,1781
Singapore,43783.0,43112.0,45085.0,48774.0,54317.0,58746.0,63978.0,68712.0,67641.0,66132.0,75303.0,80052.0,82065,83002,84423,86975,89417,95350,100569,102565
Slovakia,12413.0,13154.0,13961.0,15031.0,16258.0,17876.0,19992.0,22755.0,24471.0,23257.0,24881.0,26111.0,26983,28016,29011,29941,29681,30918,32765,34143
Slovenia,18012.0,18988.0,19920.0,20904.0,22385.0,23950.0,26033.0,28503.0,30070.0,27675.0,28181.0,28969.0,29066,29990,30883,31647,33947,36680,39199,40919
Solomon Islands,1459.0,1336.0,1284.0,1359.0,1451.0,1541.0,1627.0,1706.0,1799.0,1814.0,1946.0,2077.0,2099,2190,2194,2187,2278,2381,2469,2479
Somalia,,,,,,,,,,,,,848,732,778,870,911,916,937,954
South Africa,8502.0,8767.0,9107.0,9469.0,10058.0,10795.0,11610.0,12398.0,12854.0,12548.0,12885.0,13362.0,13191,13591,13595,13697,13738,13839,14171,14236
South Sudan,,,,,,,,,,,,3101.0,1341,1578,1508,1362,1028,889,866,862
Spain,23877.0,25245.0,25919.0,26721.0,27856.0,29232.0,30877.0,32218.0,32590.0,31301.0,31597.0,31872.0,31725,32453,33544,34939,37310,39626,41328,42600
Sri Lanka,4363.0,4343.0,4539.0,4862.0,5220.0,5674.0,6249.0,6804.0,7295.0,7548.0,8195.0,9008.0,10315,10852,11257,11557,12224,12584,13168,13622
Saint Kitts and Nevis,15204.0,16153.0,16397.0,15837.0,16677.0,18626.0,19565.0,19981.0,22394.0,21539.0,21570.0,22133.0,21039,21859,23555,23424,24378,25341,26369,27846
Saint Lucia,9348.0,9122.0,9230.0,9723.0,10590.0,10752.0,11629.0,12034.0,12713.0,12985.0,13125.0,13908.0,13668,14032,14221,13945,14634,15236,15931,16104
Saint Vincent and the Grenadines,6303.0,6556.0,7048.0,7705.0,8204.0,8634.0,9542.0,10083.0,10429.0,10265.0,10030.0,10186.0,10340,10795,11205,11552,12384,12202,12751,13035
Sudan,2737.0,3025.0,3175.0,3349.0,3524.0,3750.0,4014.0,4248.0,4382.0,4180.0,4282.0,5198.0,3929,3935,4509,4438,5569,4602,4455,4309
Suriname,8180.0,8647.0,9002.0,9651.0,10444.0,11172.0,12043.0,12853.0,13456.0,13762.0,14453.0,15363.0,16890,17909,18301,16963,14778,17880,18994,19288
Sweden,29393.0,30401.0,31441.0,32675.0,34868.0,36841.0,39463.0,41605.0,41877.0,39953.0,42499.0,44450.0,45259,46099,46937,48858,50062,52413,54124,55656
Switzerland,41398.0,42824.0,43158.0,43626.0,45660.0,48103.0,51339.0,54502.0,56389.0,54798.0,56613.0,58270.0,60273,62657,64513,66398,68461,69852,73069,74764
Syria,4318.0,4457.0,4662.0,4524.0,4816.0,5107.0,5396.0,5715.0,5938.0,6176.0,6374.0,6374.0,6374,6374,6374,6374,6374,6374,6374,6374
Taiwan,21461.0,21512.0,22927.0,24277.0,26562.0,28767.0,31221.0,34139.0,34952.0,34485.0,38404.0,40533.0,41741,43435,45494,46911,47272,48501,51005,53424
Tajikistan,1062.0,1176.0,1279.0,1409.0,1568.0,1690.0,1825.0,1977.0,2128.0,2176.0,2294.0,2459.0,2709,3004,3304,2958,3071,3070,3304,3543
Tanzania,1175.0,1241.0,1314.0,1393.0,1499.0,1614.0,1693.0,1833.0,1918.0,1977.0,2067.0,2210.0,2099,2195,2243,2348,2479,2528,2687,2840
Thailand,7295.0,7645.0,8173.0,8867.0,9611.0,10261.0,11037.0,11884.0,12256.0,12188.0,13197.0,13519.0,14871,15408,15480,15822,16616,17423,18528,19232
Timor-Leste,1249.0,1466.0,1370.0,1346.0,1364.0,1423.0,1379.0,1528.0,1694.0,1823.0,1965.0,2085.0,2320,2483,2721,2913,3131,3145,3125,3703
Togo,1311.0,1314.0,1350.0,1432.0,1420.0,1360.0,1402.0,1385.0,1429.0,1477.0,1544.0,1633.0,1656,1721,1792,1885,1954,2012,2110,2211
Tonga,3516.0,3633.0,3840.0,3901.0,3914.0,4004.0,4020.0,4009.0,4270.0,4064.0,4135.0,4488.0,4608,4729,4940,5075,5518,5813,5977,6137
Trinidad and Tobago,15106.0,15961.0,17293.0,19982.0,21910.0,23812.0,27897.0,29736.0,31159.0,29700.0,30928.0,31321.0,30063,30060,29699,27397,26390,26343,26877,26918
Tunisia,5978.0,6288.0,6419.0,6802.0,7362.0,7792.0,8376.0,9089.0,9554.0,9800.0,10152.0,10050.0,10180,10174,10370,10124,10269,10467,10888,11074
Turkey,10819.0,10288.0,10988.0,11713.0,13045.0,14483.0,15768.0,16805.0,17042.0,16089.0,17376.0,19460.0,20504,22221,23946,25691,26514,28242,29346,29719
Turkmenistan,3830.0,4662.0,5424.0,6410.0,7471.0,8616.0,9746.0,10986.0,12693.0,13391.0,15284.0,17446.0,17746,17265,17946,16124,14809,15631,16048,14851
Tuvalu,,,2742.0,2698.0,2683.0,2630.0,2711.0,2939.0,3151.0,2955.0,2880.0,3120.0,3009,3186,3287,3617,3812,4104,4252,4909
Uganda,1284.0,1383.0,1456.0,1521.0,1597.0,1753.0,1870.0,2006.0,2181.0,2294.0,2416.0,2570.0,2373,2395,2441,2388,2359,2383,2501,2673
Ukraine,4148.0,4655.0,5021.0,5652.0,6536.0,7002.0,7814.0,8734.0,9143.0,7843.0,8296.0,8959.0,9389,10749,10804,10225,11216,11943,12725,13447
United Arab Emirates,102781.0,100665.0,99074.0,103680.0,110145.0,109107.0,101204.0,86479.0,70074.0,65806.0,67134.0,72144.0,74088,74734,77094,67254,65651,68504,70502,73142
United Kingdom,26743.0,27985.0,28916.0,30328.0,31688.0,33390.0,35107.0,36610.0,36905.0,35363.0,36240.0,37154.0,38297,39945,41292,42583,44121,45923,47326,48599
United States,36313.0,37101.0,37946.0,39405.0,41642.0,44034.0,46217.0,47943.0,48471.0,47102.0,48586.0,50008.0,51737,53246,55084,56730,57840,59886,62770,65052
Uruguay,10847.0,10700.0,10115.0,10581.0,11359.0,12472.0,13361.0,14616.0,15945.0,16654.0,18070.0,19307.0,19489,20475,21492,21614,22093,22637,23204,23617
Uzbekistan,2686.0,2824.0,2947.0,3093.0,3374.0,3678.0,4031.0,4473.0,4894.0,5236.0,5580.0,5888.0,6107,6355,6551,6740,6856,6898,7319,7733
Vanuatu,1867.0,1803.0,1697.0,1764.0,1841.0,1955.0,2136.0,2206.0,2321.0,2356.0,2357.0,2426.0,2440,2438,2504,2481,2586,2739,2821,2886
Venezuela,11639.0,12102.0,11020.0,10200.0,12194.0,13658.0,15231.0,16754.0,17706.0,16993.0,16693.0,17494.0,18553,18862,18209,17014,14213,12322,10681,7343
Vietnam,2489.0,2685.0,2881.0,3124.0,3427.0,3766.0,4114.0,4484.0,4783.0,5024.0,5357.0,5826.0,6400,6763,7281,7635,8316,9086,9867,10559
Palestine,2539.0,2291.0,1981.0,2242.0,2730.0,3043.0,3017.0,3123.0,3328.0,3544.0,3698.0,4035.0,4720,4826,5192,5612,5945,6025,6089,6128
Yemen,2870.0,2953.0,3021.0,3097.0,3205.0,3383.0,3490.0,3593.0,3682.0,3733.0,3950.0,3417.0,3301,3479,3435,2425,2155,2026,2033,2043
Zambia,1617.0,1697.0,1756.0,1867.0,1999.0,2153.0,2329.0,2520.0,2688.0,2869.0,3108.0,3250.0,3348,3504,3467,3360,3333,3407,3520,3526
Zimbabwe,2410.0,2460.0,2312.0,1974.0,1885.0,1785.0,1748.0,1730.0,1465.0,1570.0,1884.0,2175.0,2386,2546,2576,2642,2667,2382,2522,2366
