Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
El Salvador,4672,0.44,5110,1.81,5480,1.41,5850,1.32,5957,0.36,6053,0.32,6142,0.29
Equatorial Guinea,326,4.9,372,2.68,427,2.81,492,2.89,568,2.91,651,2.78,741,2.63
Eritrea,2942,2.75,3138,1.3,3566,2.58,4198,3.32,5070,3.85,5793,2.7,6528,2.42
Estonia,1539,0.74,1570,0.4,1447,-1.62,1380,-0.94,1332,-0.71,1303,-0.44,1266,-0.58
Eswatini,722,3.37,882,4.09,1004,2.63,1144,2.65,1259,1.94,1355,1.47,1436,1.18
Ethiopia,40684,2.46,47555,3.17,55726,3.22,64366,2.92,74355,2.93,86043,2.96,99466,2.94
Faroe Islands,46,0.96,48,0.81,44,-1.7,46,1.02,49,1.07,50,0.31,51,0.46
Federated States of Micronesia,91,3.29,109,3.68,106,-0.49,108,0.33,109,0.07,108,-0.17,106,-0.36
Fiji,699,1.95,740,1.14,773,0.87,805,0.83,837,0.77,876,0.93,910,0.75
Finland,4902,0.51,4987,0.34,5105,0.47,5169,0.25,5239,0.27,5355,0.44,5477,0.45
France,56561,0.5,58256,0.59,59824,0.53,61256,0.47,63060,0.58,64941,0.59,66554,0.49
French Polynesia,176,3.06,200,2.61,217,1.68,236,1.7,254,1.47,269,1.16,283,1.01
Gabon,834,3.14,939,2.4,1070,2.65,1237,2.95,1396,2.45,1546,2.06,1706,1.99
Gambia,773,3.44,952,4.25,1162,4.08,1357,3.15,1548,2.67,1756,2.55,1968,2.31
Georgia,5193,0.58,5432,0.9,5042,-1.48,4819,-0.9,4791,-0.12,4903,0.47,4932,0.12
Germany,77685,-0.16,79381,0.43,81654,0.57,82184,0.13,82440,0.06,81645,-0.19,80855,-0.19
Ghana,13573,4.01,15549,2.76,17322,2.18,18982,1.85,21107,2.15,23572,2.23,26328,2.24
Gibraltar,29,-0.13,30,0.32,27,-1.66,28,0.38,29,0.86,29,0.29,30,0.26
Greece,9924,0.58,10130,0.41,10458,0.64,10560,0.19,10669,0.21,10750,0.15,10776,0.05
Greenland,54,1.15,56,0.92,57,0.2,57,0.25,58,0.31,58,-0.05,58,0.03
Grenada,94,0.63,95,0.24,98,0.74,102,0.78,105,0.58,108,0.61,111,0.53
Guam,121,2.45,135,2.15,145,1.46,156,1.5,159,0.39,160,0.13,162,0.29
Guatemala,7581,2.66,8966,3.41,10028,2.26,11086,2.02,12183,1.91,13551,2.15,14919,1.94
Guernsey,56,0.67,63,2.57,61,-0.53,62,0.32,64,0.38,65,0.51,67,0.4
Guinea,5227,3.28,6119,3.2,7446,4.0,8351,2.32,9154,1.85,10325,2.44,11781,2.67
Guinea-Bissau,886,2.33,996,2.39,1144,2.8,1279,2.27,1415,2.03,1566,2.05,1727,1.98
Guyana,763,0.08,772,0.24,769,-0.07,785,0.41,775,-0.26,746,-0.76,736,-0.29
Haiti,6120,2.13,6798,2.12,7571,2.18,8413,2.13,9205,1.82,9649,0.95,10111,0.94
Honduras,4078,3.69,4795,3.29,5551,2.97,6360,2.76,7194,2.49,7990,2.12,8747,1.83
Hong Kong,5457,1.51,5688,0.84,6223,1.81,6656,1.36,6905,0.74,7030,0.36,7142,0.32
Hungary,10649,-0.12,10372,-0.53,10281,-0.18,10148,-0.26,10058,-0.18,9993,-0.13,9898,-0.19
Iceland,242,1.13,255,1.08,268,0.99,282,0.99,297,1.09,318,1.39,332,0.87
India,759613,2.09,838159,1.99,920585,1.89,1006301,1.8,1090974,1.63,1173109,1.46,1251696,1.31
Indonesia,166070,2.01,181600,1.8,197604,1.7,214091,1.62,229245,1.38,243423,1.21,255994,1.01
Iran,48619,4.13,58101,3.63,64218,2.02,68632,1.34,72283,1.04,76924,1.25,81825,1.24
Iraq,15694,3.47,18140,2.94,19658,1.62,23129,3.3,27538,3.55,30527,2.08,37057,3.95
Ireland,3541,0.8,3509,-0.18,3614,0.6,3823,1.13,4200,1.9,4623,1.94,4893,1.14
Isle of Man,65,0.1,69,1.34,73,1.01,76,0.92,80,1.01,84,1.05,88,0.86
Israel,4050,1.71,4460,1.95,5335,3.65,6098,2.71,6726,1.98,7369,1.84,8050,1.78
Italy,56719,0.09,56714,0.0,57295,0.2,57785,0.17,59038,0.43,60749,0.57,61856,0.36
Ivory Coast,10332,3.75,12491,3.87,14846,3.51,16885,2.61,18921,2.3,21059,2.16,23296,2.04
Jamaica,2319,0.79,2348,0.25,2470,1.02,2616,1.16,2737,0.91,2848,0.8,2951,0.71
Japan,120755,0.67,123538,0.46,125328,0.29,126776,0.23,127716,0.15,127580,-0.02,126920,-0.1
Jersey,80,1.05,84,0.99,85,0.33,88,0.56,89,0.25,94,1.08,98,0.83
Jordan,2669,4.04,3321,4.47,4249,5.05,4786,2.4,5363,2.31,6501,3.92,8118,4.54
Kazakhstan,15999,1.3,16776,0.95,16390,-0.46,15688,-0.87,16123,0.55,17085,1.17,18158,1.22
Kenya,19763,3.89,23361,3.4,27164,3.06,30606,2.42,35247,2.86,40844,2.99,45926,2.37
Kiribati,63,1.52,72,2.82,77,1.43,86,2.15,93,1.7,100,1.45,106,1.22
Kosovo,1683,2.03,1862,2.05,2029,1.73,1701,-3.47,1768,0.78,1816,0.53,1871,0.61
Kuwait,1733,4.81,2132,4.23,1665,-4.82,1973,3.45,2257,2.73,2544,2.42,2789,1.86
Kyrgyzstan,4062,2.27,4484,2.0,4621,0.6,4938,1.34,5165,0.9,5411,0.94,5665,0.92
Laos,3658,2.12,4211,2.86,4847,2.85,5398,2.18,5837,1.58,6369,1.76,6912,1.65
