NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,GDP-2004,GDP-2008,GDP-2012,GDP-2016,pop-2004,pop-2008,pop-2012,pop-2016
Azerbaijan,2.0,2.0,5.0,9.0,1.0,1.0,4.0,6.0,1.0,7.0,10.0,18.0,1.0,0.0,4.0,5.0,5220.0,13189.0,16063,14448,8826,9302,9302,9781
Switzerland,2.0,2.0,0.0,4.0,2.0,1.0,4.0,7.0,3.0,2.0,2.0,7.0,1.0,1.0,3.0,5.0,45660.0,56389.0,60273,68461,7449,7770,7770,8122
Norway,2.0,1.0,1.0,4.0,3.0,5.0,1.0,9.0,0.0,0.0,4.0,4.0,5.0,0.0,1.0,6.0,53167.0,61820.0,65101,58736,4625,4892,4892,5208
Lithuania,2.0,0.0,3.0,5.0,0.0,3.0,2.0,5.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,3.0,14644.0,22704.0,24704,30922,3327,3089,3089,2885
Tunisia,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7362.0,9554.0,10180,10269,10013,10526,10526,11038
Sweden,1.0,4.0,3.0,8.0,0.0,4.0,1.0,5.0,2.0,6.0,3.0,11.0,4.0,2.0,1.0,7.0,34868.0,41877.0,45259,50062,9083,9433,9433,9802
Colombia,1.0,3.0,5.0,9.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,8.0,0.0,0.0,2.0,2.0,7990.0,10454.0,12306,14352,41488,44206,44206,46737
Mexico,1.0,3.0,4.0,8.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,5.0,0.0,3.0,1.0,4.0,13878.0,16134.0,17213,19422,106577,114062,114062,121737
Georgia,1.0,2.0,3.0,6.0,3.0,2.0,2.0,7.0,2.0,1.0,4.0,7.0,2.0,2.0,0.0,4.0,4539.0,7147.0,9799,12855,4791,4903,4903,4932
Ireland,1.0,1.0,4.0,6.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,39948.0,45061.0,46308,71251,4200,4623,4623,4893
Argentina,1.0,1.0,2.0,4.0,2.0,0.0,4.0,6.0,3.0,1.0,0.0,4.0,2.0,0.0,4.0,6.0,12303.0,17567.0,19641,20308,39182,41344,41344,43432
Serbia,1.0,1.0,2.0,4.0,0.0,1.0,2.0,3.0,2.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,8853.0,13026.0,13939,15856,7503,7345,7345,7177
Slovenia,1.0,1.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,0.0,1.0,3.0,4.0,22385.0,30070.0,29066,33947,2012,2004,2004,1984
