NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Country,GDP-2004,GDP-2008,GDP-2012,GDP-2016
Switzerland,2.0,2.0,0.0,4.0,2.0,1.0,4.0,7.0,3.0,2.0,2.0,7.0,1.0,1.0,3.0,5.0,Switzerland,45660.0,56389.0,60273.0,68461.0
Norway,2.0,1.0,1.0,4.0,3.0,5.0,1.0,9.0,0.0,0.0,4.0,4.0,5.0,0.0,1.0,6.0,Norway,53167.0,61820.0,65101.0,58736.0
Lithuania,2.0,0.0,3.0,5.0,0.0,3.0,2.0,5.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,3.0,Lithuania,14644.0,22704.0,24704.0,30922.0
Tunisia,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,,,,Tunisia,7362.0,9554.0,10180.0,10269.0
Sweden,1.0,4.0,3.0,8.0,0.0,4.0,1.0,5.0,2.0,6.0,3.0,11.0,4.0,2.0,1.0,7.0,Sweden,34868.0,41877.0,45259.0,50062.0
Colombia,1.0,3.0,5.0,9.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,8.0,0.0,0.0,2.0,2.0,Colombia,7990.0,10454.0,12306.0,14352.0
Mexico,1.0,3.0,4.0,8.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,5.0,0.0,3.0,1.0,4.0,Mexico,13878.0,16134.0,17213.0,19422.0
Georgia,1.0,2.0,3.0,6.0,3.0,2.0,2.0,7.0,2.0,1.0,4.0,7.0,2.0,2.0,0.0,4.0,Georgia,4539.0,7147.0,9799.0,12855.0
Ireland,1.0,1.0,4.0,6.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,,,,,Ireland,39948.0,45061.0,46308.0,71251.0
Argentina,1.0,1.0,2.0,4.0,2.0,0.0,4.0,6.0,3.0,1.0,0.0,4.0,2.0,0.0,4.0,6.0,Argentina,12303.0,17567.0,19641.0,20308.0
Serbia,1.0,1.0,2.0,4.0,0.0,1.0,2.0,3.0,2.0,4.0,2.0,8.0,,,,,Serbia,8853.0,13026.0,13939.0,15856.0
Slovenia,1.0,1.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,0.0,1.0,3.0,4.0,Slovenia,22385.0,30070.0,29066.0,33947.0
Trinidad and Tobago,1.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Trinidad and Tobago,21910.0,31159.0,30063.0,26390.0
Turkey,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,3.0,4.0,8.0,3.0,3.0,5.0,11.0,Turkey,13045.0,17042.0,20504.0,26514.0
Dominican Republic,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,Dominican Republic,7608.0,10704.0,12208.0,16626.0
Chinese Taipei,1.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,5.0,Chinese Taipei,26562.0,34952.0,41741.0,47272.0
Latvia,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,0.0,4.0,0.0,4.0,Latvia,13507.0,20591.0,21298.0,26580.0
Algeria,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,,,,,Algeria,10705.0,12701.0,13264.0,11543.0
