Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Turkmenistan,3241000,2420.0,3659000,2460.0,4079000,2200.0,4386000,1460.0,4665000,1240.0,4941000,1160.0,5232000,1150.0
Turks and Caicos Islands,10000,4530.0,12000,4330.0,15000,5350.0,20000,5220.0,28000,7440.0,44000,9390.0,51000,3080.0
Tuvalu,9000,1810.0,10000,2370.0,10000,1220.0,11000,590.0,11000,260.0,11000,590.0,11000,750.0
Uganda,13811000,2820.0,16549000,3680.0,19641000,3480.0,22917000,3130.0,26917000,3270.0,31508000,3200.0,37102000,3320.0
Ukraine,50945000,360.0,51623000,260.0,51248000,-150.0,49014000,-890.0,47003000,-830.0,45769000,-530.0,44430000,-590.0
United Arab Emirates,1364000,6390.0,1827000,6020.0,2458000,6120.0,3220000,5540.0,4087000,4890.0,4976000,4019.9999999999995,5780000,3040.0
United Kingdom,56585000,100.0,57411000,290.0,58187000,270.0,59140000,330.0,60488000,450.0,62349000,610.0,64089000,550.0
United States,237924000,920.0,249623000,960.0,266279000,1300.0,282163000,1170.0,295517000,930.0,309348000,920.0,321369000,770.0
United States Virgin Islands,101000,220.0,104000,630.0,108000,730.0,109000,150.0,108000,-140.0,107000,-300.0,104000,-510.0
Uruguay,3019000,600.0,3086000,440.0,3151000,420.0,3220000,440.0,3265000,280.0,3302000,220.0,3342000,250.0
Uzbekistan,18216000,2640.0,20531000,2420.0,23068000,2360.0,25042000,1660.0,26540000,1170.0,27866000,980.0,29200000,940.0
Vanuatu,135000,2900.0,154000,2690.0,173000,2310.0,192000,2100.0,218000,2620.0,246000,2400.0,273000,2110.0
Venezuela,16998000,2850.0,19326000,2600.0,21550000,2200.0,23493000,1740.0,25270000,1470.0,27224000,1500.0,29276000,1460.0
Vietnam,60094000,2270.0,67259000,2280.0,73784000,1870.0,79178000,1420.0,84425000,1290.0,89572000,1190.0,94349000,1040.0
Wallis and Futuna,14000,3780.0,14000,720.0,15000,790.0,15000,910.0,16000,580.0,16000,330.0,16000,350.0
Western Sahara,180000,7650.0,218000,3920.0,264000,3950.0,337000,4970.0,416000,4320.0,492000,3420.0,571000,3040.0
Yemen,10540000,2910.0,12417000,3330.0,14832000,3620.0,17236000,3050.0,20003000,3020.0,23210000,3020.0,26738000,2870.0
Zambia,6536000,3360.0,7604000,3070.0,8691000,2710.0,9984000,2810.0,11373000,2640.0,13042000,2780.0,15067000,2930.0
Zimbabwe,8561000,3610.0,10157000,3480.0,11160000,1900.0,11821000,1160.0,11640000,-310.0,11652000,20.0,14230000,4080.0
World,4856463000,1760.0,5288956000,1720.0,5699203000,1510.0,6088572000,1330.0,6473045000,1230.0,6866333000,1190.0,7256491000,1110.0
