Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Cuba,10065000,840.0,10507000,860.0,10848000,640.0,11072000,410.0,11199000,230.0,11099000,-180.0,11032000,-120.0
Curaçao,154000,770.0,146000,-1100.0,142000,-530.0,134000,-1100.0,137000,310.0,144000,1060.0,149000,690.0
Cyprus,680000,1510.0,746000,1870.0,848000,2610.0,920000,1650.0,1011000,1910.0,1103000,1760.0,1190000,1520.0
Czech Republic,10311000,40.0,10310000,0.0,10324000,30.0,10269000,-110.0,10267000,0.0,10551000,550.0,10645000,180.0
Democratic Republic of the Congo,33348000,2830.0,39152000,3260.0,46705000,3590.0,52446000,2350.0,60699000,2970.0,69852000,2850.0,79376000,2590.0
Denmark,5114000,-40.0,5141000,110.0,5233000,350.0,5338000,400.0,5433000,350.0,5516000,300.0,5582000,240.0
Djibouti,383000,3180.0,500000,5490.0,554000,2070.0,670000,3890.0,667000,-90.0,741000,2130.0,829000,2270.0
Dominica,74000,-210.0,71000,-860.0,72000,400.0,71000,-170.0,73000,370.0,73000,190.0,74000,220.0
Dominican Republic,6379000,2290.0,7084000,2120.0,7759000,1840.0,8469000,1770.0,9165000,1590.0,9824000,1400.0,10479000,1301.0
Ecuador,9062000,2730.0,10319000,2630.0,11266000,1770.0,12446000,2009.9999999999998,13663000,1880.0,14791000,1600.0,15869000,1420.0
Egypt,50053000,3260.0,54908000,1870.0,58946000,1430.0,65159000,2020.0,72544000,2170.0,80472000,2100.0,88488000,1920.0
El Salvador,4672000,440.0,5110000,1810.0,5480000,1410.0,5850000,1320.0,5957000,360.0,6053000,320.0,6142000,290.0
Equatorial Guinea,326000,4900.0,372000,2680.0,427000,2810.0,492000,2890.0,568000,2910.0,651000,2780.0,741000,2630.0
Eritrea,2942000,2750.0,3138000,1300.0,3566000,2580.0,4198000,3320.0,5070000,3850.0,5793000,2700.0,6528000,2420.0
Estonia,1539000,740.0,1570000,400.0,1447000,-1620.0,1380000,-940.0,1332000,-710.0,1303000,-440.0,1266000,-580.0
Eswatini,722000,3370.0,882000,4090.0,1004000,2630.0,1144000,2650.0,1259000,1940.0,1355000,1470.0,1436000,1180.0
Ethiopia,40684000,2460.0,47555000,3170.0,55726000,3220.0,64366000,2920.0,74355000,2930.0,86043000,2960.0,99466000,2940.0
Faroe Islands,46000,960.0,48000,810.0,44000,-1700.0,46000,1020.0,49000,1070.0,50000,310.0,51000,460.0
Federated States of Micronesia,91000,3290.0,109000,3680.0,106000,-490.0,108000,330.0,109000,70.0,108000,-170.0,106000,-360.0
Fiji,699000,1950.0,740000,1140.0,773000,870.0,805000,830.0,837000,770.0,876000,930.0,910000,750.0
Finland,4902000,510.0,4987000,340.0,5105000,470.0,5169000,250.0,5239000,270.0,5355000,440.0,5477000,450.0
France,56561000,500.0,58256000,590.0,59824000,530.0,61256000,470.0,63060000,580.0,64941000,590.0,66554000,490.0
French Polynesia,176000,3060.0,200000,2610.0,217000,1680.0,236000,1700.0,254000,1470.0,269000,1160.0,283000,1010.0
Gabon,834000,3140.0,939000,2400.0,1070000,2650.0,1237000,2950.0,1396000,2450.0,1546000,2060.0,1706000,1990.0
Gambia,773000,3440.0,952000,4250.0,1162000,4080.0,1357000,3150.0,1548000,2670.0,1756000,2550.0,1968000,2310.0
Georgia,5193000,580.0,5432000,900.0,5042000,-1480.0,4819000,-900.0,4791000,-120.0,4903000,470.0,4932000,120.0
Germany,77685000,-160.0,79381000,430.0,81654000,570.0,82184000,130.0,82440000,60.0,81645000,-190.0,80855000,-190.0
Ghana,13573000,4010.0,15549000,2760.0,17322000,2180.0,18982000,1850.0,21107000,2150.0,23572000,2230.0,26328000,2240.0
Gibraltar,29000,-130.0,30000,320.0,27000,-1660.0,28000,380.0,29000,860.0,29000,290.0,30000,260.0
Greece,9924000,580.0,10130000,410.0,10458000,640.0,10560000,190.0,10669000,210.0,10750000,150.0,10776000,50.0
